symbol,fiscaldate_end,reported_currency,operating_cashflow,payments_foroperating_activities,proceeds_fromoperating_activities,changein_operating_liabilities,changein_operating_assets,dpr_depletion_amort,capital_expenditures,changein_receivables,changein_inventory,profit_loss,cashflow_frominvestment,cashflow_fromfinancing,proceeds_fromrepayment_shortterm_debt,payments_forrepurchase_commonstock,payments_forrepurchase_equity,payments_forrepurchase_preferredstock,div_payout,div_payout_commonstock,div_payout_preferredstock,proceedsFromIssuanceOfCommonStock,proceeds_fromissuance_longterm_debtcapital_secnet,proceeds_fromissuance_preferredstock,proceeds_fromrepurchase_equity,proceeds_fromsale_treasurystock,changein_cash_cashequivalents,changein_exchangerate,netincome
AIH,2019-09-30,CNY,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,115674000.0
AI,2020-10-31,USD,1774000.0,0,0,0,0,2098000.0,919000.0,0,0.0,0,-37286000.0,28214000.0,0,0,0,0,0.0,0.0,0,0,0,0,4536000,0,0,0,-14794000.0
AKRO,2019-06-30,USD,-5322000.0,0,0,0,0,0.0,0.0,0,0.0,-7228000,-71513000.0,98200000.0,0,0,0,0,0.0,0.0,0,0,0,0,97480000,0,0,0,-7228000.0
AKUS,2020-06-30,USD,-11381000.0,0,0,0,0,529000.0,1050000.0,0,0.0,0,-1050000.0,225262000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-12523000.0
ALEC,2018-12-31,USD,-17654000.0,0,0,0,0,276000.0,417000.0,0,0.0,-17373000,42465000.0,-1280000.0,0,0,0,0,0.0,0.0,0,0,0,0,133050000,0,0,0,-17373000.0
ALGM,2020-09-30,USD,2974000.0,0,0,0,0,12487000.0,10117000.0,0,6218000.0,0,-18335000.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,9584000.0
ALGS,2020-09-30,USD,-16566000.0,0,0,0,0,885000.0,344000.0,0,0.0,0,26656000.0,-949000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-33297000.0
ALRS,2019-09-30,USD,14338000.0,0,0,0,0,2289000.0,516000.0,0,0.0,7104000,5091000.0,-3175000.0,-141445000,1841000,0,0,2364000.0,-2364000.0,0,0,0,0,-1841000,0,0,0,7104000.0
ALUS,2019-12-31,USD,-385957.0,0,0,0,0,0.0,0.0,0,0.0,0,-492857225.0,290004820.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,216198.0
AMHC,2019-12-31,USD,-367470.0,0,0,0,0,0.0,0.0,0,0.0,0,-100000000.0,101580230.0,0,0,0,0,0.0,0.0,0,0,0,0,102000000,0,0,0,2040.0
AMK,2019-06-30,USD,4739000.0,0,0,0,0,7613000.0,745000.0,0,0.0,3237000,-41568000.0,-1250000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3237000.0
AMST,2020-09-30,USD,-312890.0,0,0,0,0,160974.0,222049.0,0,0.0,0,-222049.0,12796230.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-5086264.0
AMWL,2020-09-30,USD,-30112000.0,0,0,0,0,2576000.0,957000.0,0,-2564000.0,0,-101011000.0,854845000.0,0,0,0,0,0.0,0.0,0,0,0,0,-18254000,0,0,0,-63081000.0
ANNX,2020-06-30,USD,-10246000.0,0,0,0,0,131000.0,0.0,0,0.0,0,-16000.0,101666000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-12240000.0
ANPC,2019-12-31,CNY,-15984000.0,0,0,0,0,740000.0,332000.0,0,-349000.0,0,-632000.0,-1431000.0,0,0,0,0,0.0,0.0,0,0,0,0,-7954000,0,0,0,-32555000.0
ANVS,2019-12-31,USD,-52528.0,0,0,0,0,0.0,0.0,0,0.0,-201256,0.0,-1864.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-201256.0
API,2020-06-30,USD,7451000.0,0,0,0,0,1005000.0,3825000.0,0,0.0,0,-3825000.0,485555000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3006000.0
APLT,2019-03-31,USD,-7002000.0,0,0,0,0,23000.0,0.0,0,0.0,-8730000,-19878000.0,2940000.0,0,0,0,0,0.0,0.0,0,0,0,0,3131000,0,0,0,-8730000.0
APRE,2019-09-30,USD,-2793314.0,0,0,0,0,4114.0,10246.0,0,0.0,-6249419,-10246.0,-3619652.0,0,0,0,0,0.0,0.0,0,0,0,0,5621480,0,0,0,-6249419.0
APSG,2020-09-30,USD,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-10000.0
APXT,2019-09-30,USD,-229700.0,0,0,0,0,0.0,0.0,0,0.0,-147749,-116666550.0,351443558.0,0,0,0,0,0.0,0.0,0,0,0,0,352025000,0,1213858,0,29595.0
AREC,2019-03-31,USD,-5743426.0,557663,0,-1610219,-117047,1353707.0,721444.0,792381,-574254.0,-10065620,-721444.0,4231718.0,0,0,0,0,0.0,0.0,0,0,2000000,0,4254000,0,-2233152,0,-10065620.0
ARYA,2020-06-30,USD,-485648.0,0,0,0,0,0.0,0.0,0,0.0,0,-149500000.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-11717.0
ASAN,2020-10-31,USD,-34435000.0,0,0,0,0,992000.0,22792000.0,0,0.0,0,-142994000.0,24251000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-73289000.0
ASO,2020-10-31,USD,83597000.0,0,0,0,0,25567000.0,8065000.0,0,-183920000.0,0,60000.0,-97961000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,59586000.0
ATAC,2020-09-30,USD,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
ATHA,2020-09-30,USD,-9411000.0,0,0,0,0,0.0,0.0,0,0.0,0,-94313000.0,184283000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-8456000.0
ATIF,2019-04-30,USD,-933639.0,0,0,0,0,-1116.0,133015.0,0,0.0,0,-766474.0,4386296.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-375159.0
AUVI,2020-09-30,USD,-429897.0,0,0,0,0,9182.0,55814.0,0,-45156.0,0,-55814.0,4927529.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-894732.0
AVIR,2020-09-30,USD,-9481000.0,0,0,0,0,5000.0,15000.0,0,0.0,0,-15000.0,-913000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-17622000.0
AVO,2020-10-31,USD,45970000.0,0,0,0,0,5465000.0,26907000.0,0,10901000.0,0,-24294000.0,65908000.0,0,0,0,0,-5541000.0,-5541000.0,0,0,0,0,-5000,0,0,0,18758000.0
AVTR,2019-06-30,USD,-5900000.0,0,0,0,0,103000000.0,14000000.0,0,30000000.0,-48700000,-12400000.0,38300000.0,0,0,0,0,-15100000.0,-15100000.0,0,0,0,0,1604800000,0,0,0,-48700000.0
AYLA,2020-03-31,USD,-6391000.0,0,0,0,0,53000.0,20000.0,0,0.0,0,182000.0,-261000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,-6598000.0
BBIO,2019-06-30,USD,-68248000.0,0,0,0,0,132000.0,83000.0,0,0.0,-74334000,-583000.0,-9969000.0,0,0,0,0,0.0,0.0,0,0,0,0,538000,0,0,0,-65895000.0
BCEL,2019-06-30,USD,-13751000.0,0,0,0,0,395000.0,644000.0,0,0.0,-17921000,9071000.0,133320000.0,0,0,0,0,0.0,0.0,0,0,0,0,133866000,0,0,0,-17921000.0
BCOW,2018-12-31,USD,-1234000.0,12865000,11961000,0,630000,506000.0,501000.0,834000,0.0,59000,2349000.0,-2148000.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,-1033000,0,59000.0
