IPO_DATE,SYMBOL,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN
2020-12-08,RAAC,Revolution Acceleration Acquisition,10,10.59,0.059
2020-12-04,YQ,17 Education & Technology,10.5,10.23,-0.0257
2020-12-04,SBTX,Silverback Therapeutics,21,60.41,1.8767
2020-12-04,SEER,"Seer, Inc",19,54.72,1.88
2020-12-04,SGTX,Sigilon Therapeutics,18,24.64,0.3689
2020-12-04,FTCV,FinTech Acquisition V,10,12.9,0.29
2020-12-04,PTIC,Proptech Investment II,10,9.92,-0.008
2020-12-03,FPAC,Far Peak Acquisition,10,9.97,-0.003
2020-12-03,HTPA,Highland Transcend Partners I,10,10,0
2020-12-03,KNTE,Kinnate Biopharma,20,37,0.85
2020-12-03,LOKB,Live Oak Acquisition II,10,10.1,0.01
2020-12-03,DCBO,Docebo,52.21,42.75,-0.1812
2020-12-03,SPFR,Jaws Spitfire Acquisition,10,10.39,0.039
2020-12-02,RSVA,Rodgers Silicon Valley Acquisition,10,15.13,0.513
2020-12-02,TACA,Trepont Acquisition I,10,9.98,-0.002
2020-12-02,CAP,Capitol Investment V,10,10.2,0.02
2020-11-30,SGAM,Seaport Global Acquisition,10,9.87,-0.013
2020-11-25,FRX,Forest Road Acquisition,10,10.94,0.094
2020-11-25,SPRQ,Spartan Acquisition II,10,10.5,0.05
2020-11-24,HFEN,HF Enterprises,7,6.15,-0.1214
2020-11-24,OZON,Ozon Holdings,30,56.52,0.884
2020-11-24,SV,Spring Valley Acquisition,10,10.03,0.003
2020-11-24,VMAR,Vision Marine Technologies,10,9.56,-0.044
2020-11-24,GNPK,Genesis Park Acquisition,10,9.93,-0.007
2020-11-24,VCVC,10X Capital Venture Acquisition,10,10.72,0.072
2020-11-24,TINV,Tiga Acquisition,10,10.15,0.015
2020-11-23,BREZ,Breeze Holdings Acquisition,10,10.01,0.001
2020-11-20,LSAQ,LifeSci Acquisition II,10,10.38,0.038
2020-11-20,ARBG,Aequi Acquisition,10,9.93,-0.007
2020-11-20,MRVI,Maravai LifeSciences,27,37.48,0.3881
2020-11-20,CAS,Cascade Acquisition,10,9.9,-0.01
2020-11-20,SHC,Sotera Health,23,27.74,0.2061
2020-11-20,KWAC,Kingswood Acquisition,10,9.97,-0.003
2020-11-20,OCA,Omnichannel Acquisition,10,9.9,-0.01
