symbol,fiscaldate_end,reported_currency,operating_cashflow,payments_foroperating_activities,proceeds_fromoperating_activities,changein_operating_liabilities,changein_operating_assets,dpr_depletion_amort,capital_expenditures,changein_receivables,changein_inventory,profit_loss,cashflow_frominvestment,cashflow_fromfinancing,proceeds_fromrepayment_shortterm_debt,payments_forrepurchase_commonstock,payments_forrepurchase_equity,payments_forrepurchase_preferredstock,div_payout,div_payout_commonstock,div_payout_preferredStock,proceeds_fromissuance_commonstock,proceeds_fromissuance_longterm_debtcapital_secnet,proceeds_fromissuance_preferredstock,proceeds_fromrepurchase_equity,proceeds_fromsale_treasurystock,changein_cash_cashequivalents,changein_exchangerate,netincome
ABNB,12/31/2020,USD,-139110000,0,0,0,0,32438000,7882000,0,0,0,895694000,1766607000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3887851000
ABNB,9/30/2020,USD,-139110000,0,0,0,0,0,0,0,0,0,895694000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,12/31/2019,USD,-196374000,0,0,0,0,37830000,26174000,0,0,0,-297066000,170381000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-351538000
ABNB,9/30/2019,USD,-196374000,0,0,0,0,0,0,0,0,0,-297066000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABST,12/31/2020,USD,13410272,0,0,0,0,1418127,147523,0,0,0,6446679,60445877,0,0,0,0,-3011850,-3011850,0,0,0,0,0,0,0,0,1902620
ABST,9/30/2020,USD,14707260,0,0,0,0,1356024,945871,0,0,0,9487311,-2665005,0,0,0,0,-2580376,-2580376,0,0,0,0,0,0,0,0,2601944
ABST,6/30/2020,USD,11570372,0,0,0,0,1335990,630694,0,0,0,11399,-2588718,0,0,0,0,-2466128,-2466128,0,0,0,0,0,0,0,0,2214768
ABST,3/31/2020,USD,3735037,0,0,0,0,1481301,862537,0,0,0,832816,-2344108,0,0,0,0,-2547049,-2547049,0,0,0,0,-48828,0,0,0,2258393
ABST,12/31/2019,USD,2173568,0,0,0,0,1259386,713409,0,0,0,1900317,-2025290,0,0,0,0,-2512563,-2512563,0,0,0,0,0,0,0,0,2710334
ABST,9/30/2019,USD,7477677,0,0,0,0,1238481,1649153,0,0,0,-6564655,-2767982,0,0,0,0,-2509243,-2509243,0,0,0,0,0,0,0,0,3451214
ACCD,11/30/2020,USD,-12273000,0,0,0,0,2113000,519000,0,0,0,-519000,209619000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16595000
ACCD,8/31/2020,USD,-15038000,0,0,0,0,2049000,817000,0,0,0,-875000,160342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15371000
ACCD,5/31/2020,USD,-8317000,0,0,0,0,1928000,538000,0,0,0,-538000,53382000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13960000
ACCD,2/29/2020,USD,-10264000,0,0,0,0,2101000,846000,0,0,0,-846000,4611000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2139000
ACCD,11/30/2019,USD,-10264000,0,0,0,0,6415000,2469000,0,0,0,-846000,23611000,0,0,0,0,0,0,0,0,0,0,21951000,0,0,0,-49226000
ACCD,8/31/2019,USD,-3522000,0,0,0,0,2222000,955000,0,0,0,0,2556000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15026000
ACCD,5/31/2019,USD,-16880000,0,0,0,0,2160000,109000,0,0,0,-109000,345000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15903000
ACCD,2/28/2019,USD,1248000,0,0,0,0,9391000,3118000,0,0,0,-253000,48833000,0,0,0,0,0,0,0,0,0,0,50935000,0,0,0,-56496000
ACCD,11/30/2018,USD,1248000,0,0,0,0,6875000,2865000,0,0,0,-253000,48558000,0,0,0,0,0,0,0,0,0,0,50660000,0,0,0,-49547000
ACI,12/5/2020,USD,275200000,11700000,0,38100000,386500000,497500000,380100000,1400000,385100000,123700000,-257200000,-563200000,0,184700000,184700000,0,-83700000,-83700000,0,0,0,0,-184700000,0,-545200000,0,123700000
ACI,9/12/2020,USD,628900000,0,0,0,0,0,0,17000000,5600000,284500000,-287700000,26200000,0,0,0,0,0,0,0,0,0,0,0,0,294600000,0,284500000
ACI,6/20/2020,USD,2091900000,63500000,0,733100000,-63100000,0,0,4700000,-67800000,586200000,-399400000,-106900000,0,1680000000,1680000000,0,0,0,0,0,2000000000,0,0,0,1585600000,0,586200000
ACI,2/29/2020,USD,516900000,1026500000,0,-241100000,-248200000,1694700000,1475100000,24100000,-272300000,67800000,-353100000,-101500000,0,0,0,0,0,0,0,0,2356000000,0,0,0,62300000,0,67800000
ACI,11/30/2019,USD,302200000,252000000,0,235600000,269100000,20600000,1083700000,-17500000,286600000,54800000,-333100000,-17200000,0,0,0,0,0,0,0,0,768000000,0,0,0,-48100000,0,54800000
ACI,9/7/2019,USD,282100000,231200000,0,-54600000,-17900000,20900000,716300000,21300000,-39200000,294800000,601700000,-1132800000,0,0,0,0,0,0,0,0,750000000,0,0,0,300600000,0,294800000
ACI,6/15/2019,USD,802700000,295400000,0,141400000,-25700000,28600000,0,-88700000,63000000,49000000,-294000000,-762700000,0,0,0,0,0,0,0,0,0,0,0,0,-254000000,0,49000000
ACI,2/23/2019,USD,618800000,827000000,0,-297700000,-296000000,1738800000,1362600000,18300000,-314300000,135600000,273800000,-411000000,0,0,0,0,0,0,0,0,604000000,0,-25800000,0,481600000,0,135600000
ACI,12/1/2018,USD,-122200000,0,0,134400000,374400000,0,0,40300000,334100000,45600000,-272400000,-789100000,0,0,0,0,0,0,0,0,615800000,0,0,0,-1183700000,0,45600000
ACI,9/8/2018,USD,279700000,0,0,0,0,0,0,-23400000,-11600000,-32400000,189400000,-46900000,0,0,0,0,0,0,0,0,0,0,0,0,-29000000,0,-32400000
ACKIT,9/30/2020,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2846
ACKIT,12/31/2019,USD,-140478,0,0,0,0,0,0,0,0,0,0,150020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2461
ADCT,12/31/2020,USD,-51694000,0,0,0,0,819000,774000,0,0,0,-793000,-2871000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55929000
ADCT,9/30/2020,USD,-44347000,0,0,0,0,489000,1401000,0,0,0,-1401000,191343000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20328000
ADCT,6/30/2020,USD,-36344000,0,0,0,0,0,0,0,0,0,-317000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126557000
ADCT,3/31/2020,USD,-36344000,0,0,0,0,0,0,0,0,0,-317000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,12/31/2019,USD,-33655000,0,0,0,0,497000,194000,0,0,0,-170500,-129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35285000
ADCT,9/30/2019,USD,-32238000,0,0,0,0,354000,47000,0,0,0,-47000,-290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31341000
ADCT,6/30/2019,USD,-27844000,0,0,0,0,282000,1907000,0,0,0,-953500,100931000,0,0,0,0,0,0,0,0,0,0,101479000,0,0,0,-49858000
ADCT,3/31/2019,USD,-27844000,0,0,0,0,397500,75000,0,0,0,-953500,50465500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24929000
ADCT,12/31/2018,USD,-121362000,0,0,0,0,740000,2470000,0,0,0,-2506000,-24000,0,0,0,0,0,0,0,0,0,0,-24000,0,0,0,-123096000
ADCT,6/30/2018,USD,-61494000,0,0,0,0,463000,528000,0,0,0,-531000,-13000,0,0,0,0,0,0,0,0,0,0,-13000,0,0,0,-61828000
ADCT,3/31/2018,USD,-30747000,0,0,0,0,112000,247000,0,0,0,-265500,-6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30914000
ADCT,9/30/2010,USD,136600000,0,0,0,0,0,29400000,0,13800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10600000
ADCT,6/30/2010,USD,102200000,0,0,0,0,0,21800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75800000
ADCT,3/31/2010,USD,16900000,0,0,0,0,0,14100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,12/31/2009,USD,14300000,0,0,0,0,0,6700000,0,0,0,10100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,6/30/2009,USD,52700000,0,0,0,0,0,25600000,0,13200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,3/31/2009,USD,5200000,0,0,0,0,0,18400000,0,8200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,12/31/2008,USD,0,0,0,0,0,0,7700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,9/30/2008,USD,175600000,0,0,0,0,0,42400000,0,0,0,0,163800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCT,6/30/2008,USD,110500000,0,0,0,0,0,30800000,0,0,0,0,220800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15100000
ADCT,3/31/2008,USD,54500000,0,0,0,0,0,20000000,0,0,0,0,421600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16300000
ADPT,12/31/2020,USD,-39844000,1400000,0,-8643000,-1008000,3609000,9370000,-1811000,3327000,-44570000,-340049000,6253000,0,0,0,0,0,0,0,0,0,0,6253000,0,-373640000,0,-44570000
ADPT,9/30/2020,USD,-47156000,900000,0,-8195000,12236000,2311000,4207000,3944000,200000,-36719000,-97246000,276038000,0,0,0,0,0,0,0,0,0,0,276359000,0,131636000,0,-36719000
ADPT,6/30/2020,USD,-31077000,0,0,-7527000,-2130000,423000,2263000,-1468000,18000,-33535000,177492000,6337000,0,0,0,0,0,0,0,0,0,0,6337000,0,-35428000,0,-33535000
ADPT,3/31/2020,USD,-31606000,0,0,-11529000,-5355000,1422000,2963000,-3278000,1449000,-31403000,142759000,4959000,0,0,0,0,0,0,0,0,0,0,4959000,0,116112000,0,-31403000
ADPT,12/31/2019,USD,-26791000,0,0,-6264000,5557000,1145000,2416000,3419000,402000,-20611000,46680000,1746000,0,0,0,0,0,0,0,0,0,0,1748000,0,21635000,0,-20611000
ADPT,9/30/2019,USD,-30138000,0,0,-10688000,8573000,426000,3430000,1953000,663000,-13950000,-260852000,319550000,0,0,0,0,0,0,0,0,0,0,321168000,0,28560000,0,-13950000
ADPT,6/30/2019,USD,-15970000,0,0,0,0,1870000,1523000,0,149000,-15659000,-45349000,-1504000,0,0,0,0,0,0,0,0,0,0,1989000,0,0,0,-15659000
ADPT,3/31/2019,USD,278303000,0,0,0,0,1364000,3831000,0,17000,-18386000,-222176000,124000,0,0,0,0,0,0,0,0,0,0,130000,0,0,0,-18386000
ADPT,12/31/2018,USD,-5410000,0,0,0,0,4301000,2514000,0,733000,-13271000,27629000,278000,0,0,0,0,0,0,0,0,0,0,1268000,0,0,0,-13271000
ADPT,9/30/2018,USD,-11686000,0,0,0,0,1465000,2190000,0,-608000,-8292000,5133000,57000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8292000
ADTX,9/30/2020,USD,-3669277,0,0,0,0,0,0,0,0,0,-160534,17495421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2744422
ADTX,6/30/2020,USD,-154673,0,0,0,0,0,0,0,0,0,-160534,158021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-534317
ADTX,3/31/2020,USD,-250917,0,0,0,0,0,0,0,0,0,-160534,293404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1189363
ADTX,12/31/2019,USD,-48945,0,0,0,0,0,0,0,0,0,-160534,20058,0,0,0,0,0,0,0,0,0,0,470180,0,0,0,-991084
ADTX,9/30/2019,USD,-106200,0,0,0,0,0,0,0,0,0,0,134713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1080403
ADTX,6/30/2019,USD,-73210,0,0,0,0,0,0,0,0,0,0,36810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2555973
ADTX,3/31/2019,USD,-235997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADTX,12/31/2018,USD,47900,0,0,0,0,0,0,0,0,0,0,476970,0,0,0,0,0,0,0,0,0,0,631220,0,0,0,-5689240
AFIB,12/31/2020,USD,-24131000,253000,0,2331000,3182000,1933000,3403000,267000,2026000,-29402000,-9569000,433000,0,0,0,0,0,0,0,0,0,0,297000,0,-33267000,0,-29402000
AFIB,9/30/2020,USD,-26277000,253000,0,-3257000,3072000,1389000,3377000,1033000,-1751000,-31288000,-106905000,167115000,0,0,0,0,0,0,0,0,0,0,166431000,0,33933000,0,-31288000
AFYA,9/30/2020,BRL,119499000,0,0,0,0,26399000,28279000,0,-460000,0,-172823000,75236000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74832000
AFYA,6/30/2020,BRL,88021000,0,0,0,0,26383000,24501000,0,672000,0,-218559000,-115753000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60679000
AFYA,3/31/2020,BRL,101396000,0,0,0,0,24947000,20848000,0,-1648000,0,-132466000,355726000,0,0,0,0,0,0,0,0,0,0,389170000,0,0,0,99816000
AFYA,12/31/2019,BRL,68569000,0,0,0,0,22449000,20381000,0,-1013000,0,-78330000,-40432000,0,0,0,0,0,0,0,0,0,0,992778000,0,0,0,49797000
AFYA,9/30/2019,BRL,121837000,0,0,0,0,22262000,79936000,0,-107000,0,-72025000,860672000,0,0,0,0,-26.27,-26.27,0,0,0,0,992778000,0,0,0,46267000
AFYA,6/30/2019,BRL,51078000,0,0,0,0,19387000,11745000,0,976000,0,-186796000,-41135000,0,0,0,0,-10.92,-10.92,0,0,0,0,0,0,0,0,16317000
AFYA,3/31/2019,BRL,57732000,0,0,0,0,9054000,9647000,0,-92000,0,-16998000,142330000,0,0,0,0,-10.6,-10.6,0,0,0,0,0,0,0,0,51705000
AFYA,12/31/2018,BRL,5331611.07,0,0,0,0,602609.2,5587560.87,0,0,0,-67603380.31,14526944.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6553292.02
AFYA,9/30/2018,USD,469380.53,0,0,0,0,10667.04,97313.61,0,-2003.92,0,-238960.17,20100.89,0,0,0,0,-117476.16,-117476.16,0,0,0,0,0,0,0,0,375242.38
AFYA,6/30/2018,USD,3816253.51,0,0,0,0,390493.23,435215.95,0,-48811.65,0,-1525939.18,13110912.34,0,0,0,0,-1947610.53,-1947610.53,0,0,0,0,0,0,0,0,5229235.88
AFYA,3/31/2018,USD,5580454.22,0,0,0,0,387774.82,1300736.89,0,-13288.23,0,-2185914.47,-85769.51,0,0,0,0,-2301582.51,-2301582.51,0,0,0,0,0,0,0,0,5288717.08
AGBA,9/30/2020,USD,-63510,0,0,0,0,0,0,0,0,0,460000,-426047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86687
AGBA,6/30/2020,USD,-159283,0,0,0,0,0,0,0,0,0,-460000,95921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260651
AGBA,3/31/2020,USD,-114577,0,0,0,0,0,0,0,0,0,-460000,42001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-132771
AGBA,12/31/2019,USD,-54001,0,0,0,0,0,0,0,0,0,-10,34186,0,0,0,0,0,0,0,0,0,0,44563820,0,0,0,429392
AGBA,9/30/2019,USD,-142171,0,0,0,0,0,0,0,0,0,-5,73944,0,0,0,0,0,0,0,0,0,0,44563820,0,0,0,-136617
AGBA,6/30/2019,USD,-146460,0,0,0,0,0,0,0,0,0,-46000000,46726319,0,0,0,0,0,0,0,0,0,0,44563820,0,0,0,-115288
AGBA,3/31/2019,USD,-12515,0,0,0,0,0,0,0,0,0,-46000000,450048,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,-10015
AI,1/31/2021,USD,-24664000,0,0,0,0,1091000,247000,0,0,0,13420000,856763000,0,0,0,0,0,0,0,0,0,0,865684000,0,0,0,-16852000
AI,10/31/2020,USD,1774000,0,0,0,0,2098000,919000,0,0,0,-37286000,28214000,0,0,0,0,0,0,0,0,0,0,4536000,0,0,0,-14794000
AI,7/31/2020,USD,17062000,0,0,0,0,1028000,654000,0,0,0,72135000,6678000,0,0,0,0,0,0,0,0,0,0,335000,0,0,0,150000
AI,4/30/2020,USD,-61281000,0,0,0,0,1302000,2879000,0,0,0,-124073000,119851000,0,0,0,0,0,0,0,0,0,0,44682000,0,0,0,-69378000
AI,1/31/2020,USD,-24386000,0,0,0,0,204000,0,0,0,0,-180089000,885000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9796000
AI,10/31/2019,USD,-39398000,0,0,0,0,362000,2211000,0,0,0,21129000,118610000,0,0,0,0,0,0,0,0,0,0,43440000,0,0,0,-29148000
AI,7/31/2019,USD,36677000,0,0,0,0,0,0,0,0,0,18308000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIH,9/30/2020,CNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16914000
AIH,6/30/2020,CNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61555000
AIH,3/31/2020,CNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79100000
AIH,12/31/2019,CNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58418000
AIH,9/30/2019,CNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115674000
AIH,6/30/2019,CNY,45691000,0,0,0,0,0.6,52508000,0,0,0,-72823000,3991000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57295000
AIH,3/31/2019,CNY,22845500,0,0,0,0,0.72,0.94,0,0,0,-36411500,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43
AIH,9/30/2018,USD,3325932.83,0,0,0,0,4.01,5.27,0,0,0,-5300921.54,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39
AIH,6/30/2018,USD,924040.19,0,0,0,0,1212132.57,1822810.44,0,0,0,-4202684.46,1404769.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209883.02
AIH,3/31/2018,USD,981052.46,0,0,0,0,1286919.83,1935275.85,0,0,0,-4461985.51,1491441.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284531.49
AKRO,12/31/2020,USD,-23395000,75000,0,1097000,-3161000,135000,5000,0,0,-29711000,17899000,59000,0,0,0,0,0,0,0,0,0,0,19000,0,-5437000,0,-29711000
AKRO,9/30/2020,USD,-13508000,17000,0,1387000,-4880000,27000,0,0,0,-21403000,-59844000,202784000,0,0,0,0,0,0,0,202396000,0,0,202559000,0,129432000,0,-21403000
AKRO,6/30/2020,USD,-22584000,59000,0,2460000,10143000,0,0,0,0,-16207000,38465000,100000,0,0,0,0,0,0,0,0,0,0,167000,0,-16019000,0,-16207000
AKRO,3/31/2020,USD,-11317000,0,0,-1343000,-724000,-103000,0,0,0,-11886000,-6281000,164000,0,0,0,0,0,0,0,0,0,0,112000,0,-17434000,0,-11886000
AKRO,12/31/2019,USD,-11649000,0,0,-4589000,-590000,0,0,0,0,-15611000,-71513000,115000,0,0,0,0,0,0,0,0,0,0,115000,0,-83047000,0,-15611000
AKRO,9/30/2019,USD,-13212000,0,0,3653000,1794000,0,0,0,0,-15554000,-71513000,-1607000,0,0,0,0,0,0,0,0,0,0,-1628000,0,-14819000,0,-15554000
AKRO,6/30/2019,USD,-5322000,0,0,0,0,0,0,0,0,-7228000,-71513000,98200000,0,0,0,0,0,0,0,0,0,0,97480000,0,0,0,-7228000
AKRO,3/31/2019,USD,-5444000,0,0,0,0,0,0,0,0,-5362000,-71513000,-720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5362000
AKRO,12/31/2018,USD,-2075000,0,0,0,0,0,0,0,0,-61472000,-5000000,70223000,0,0,0,0,0,0,0,0,0,0,85508000,0,0,0,-61472000
AKRO,9/30/2018,USD,-1961000,0,0,0,0,0,0,0,0,-11148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11148000
AKUS,9/30/2020,USD,-10370000,0,0,0,0,580000,1152000,0,0,0,-142586000,-1426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13089000
AKUS,6/30/2020,USD,-11381000,0,0,0,0,529000,1050000,0,0,0,-1050000,225262000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12523000
AKUS,3/31/2020,USD,-8577000,0,0,0,0,503000,1032000,0,0,0,-1032000,104704000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10440000
AKUS,12/31/2019,USD,-7955000,0,0,0,0,271000,2511000,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9618000
AKUS,9/30/2019,USD,-4608000,0,0,0,0,236000,337000,0,0,0,-337000,25059000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8210000
AKUS,6/30/2019,USD,-3905000,0,0,0,0,144000,423000,0,0,0,-423000,-49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2004000
AKUS,3/31/2019,USD,-3042000,0,0,0,0,46000,169000,0,0,0,-169000,-12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5909000
ALEC,12/31/2020,USD,-47658000,0,0,-3552000,305000,576000,788000,0,0,-52179000,11552000,1096000,0,0,0,0,0,0,0,0,0,0,1096000,0,-35010000,0,-52179000
ALEC,9/30/2020,USD,-40821000,0,0,-9248000,2981000,258000,381000,0,0,-52704000,33013000,286000,0,0,0,0,0,0,0,0,0,0,286000,0,-7522000,0,-52704000
ALEC,6/30/2020,USD,-45942000,0,0,-1874000,-538000,-10000,297000,0,0,-45326000,-24744000,2270000,0,0,0,0,0,0,0,0,0,0,2911000,0,-45326000,0,-45326000
ALEC,3/31/2020,USD,-32313000,0,0,-4036000,3589000,-240000,3566000,0,0,-40019000,-124872000,228461000,0,0,0,0,0,0,0,0,0,0,3217000,0,71276000,0,-40019000
ALEC,12/31/2019,USD,-28827000,0,0,-5584000,297000,-674000,1573000,0,0,-30527000,30057000,1437000,0,0,0,0,0,0,0,0,0,0,-168599000,0,2667000,0,-30527000
ALEC,9/30/2019,USD,-28863000,0,0,-2978000,462000,-1170000,2299000,0,0,-31738000,45909000,720000,0,0,0,0,0,0,0,0,0,0,720000,0,17766000,0,-31738000
ALEC,6/30/2019,USD,-18052000,0,0,0,0,-715000,9363000,0,0,-24560000,26422000,-116000,0,0,0,0,0,0,0,0,0,0,-116000,0,-24560000,0,-24560000
ALEC,3/31/2019,USD,-23566000,0,0,0,0,-1023000,2030000,0,0,-18560000,-151262000,170312000,0,0,0,0,0,0,0,0,0,0,170312000,0,-4516000,0,-18560000
ALEC,12/31/2018,USD,-17654000,0,0,0,0,276000,417000,0,0,-17373000,42465000,-1280000,0,0,0,0,0,0,0,0,0,0,133050000,0,0,0,-17373000
ALEC,9/30/2018,USD,-22359000,0,0,0,0,279000,157000,0,0,-15317000,-46946000,62334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15317000
ALEC,6/30/2018,USD,-17048000,0,0,0,0,232000,697000,0,0,-11121000,-40123000,70154000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11121000
ALEC,3/31/2018,USD,184525000,0,0,0,0,212000,613000,0,0,-8437000,-179515000,-62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8437000
ALGM,12/31/2020,USD,34894000,0,0,0,0,12199000,7789000,0,9890000,0,-7757000,-72186000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5095000
ALGM,9/30/2020,USD,2974000,0,0,0,0,12487000,10117000,0,6218000,0,-18335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9584000
ALGM,6/30/2020,USD,25666000,0,0,0,0,11539000,7974000,0,-14990000,0,-24309000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4820000
ALGM,3/31/2020,USD,32649000,0,0,0,0,16440000,10618000,0,687000,0,0,52500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13296000
ALGM,12/31/2019,USD,21054000,0,0,0,0,16131000,16798000,0,-3384000,0,-16782000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8926000
ALGM,9/30/2019,USD,27307000,0,0,0,0,15988000,7354000,0,1950000,0,-7334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11565000
ALGM,6/30/2019,USD,409000,0,0,0,0,0,0,0,0,0,-6945000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGM,9/30/2007,USD,12755000,0,0,0,0,0,0,0,0,0,-5387000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGM,6/30/2007,USD,12755000,0,0,0,0,0,0,0,0,0,-5387000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGS,9/30/2020,USD,-16566000,0,0,0,0,885000,344000,0,0,0,26656000,-949000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33297000
ALGS,6/30/2020,USD,-19006500,0,0,0,0,0,0,0,0,0,-4419000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
