symbol,fiscaldate_end,reported_currency,operating_cashflow,payments_foroperating_activities,proceeds_fromoperating_activities,changein_operating_liabilities,changein_operating_assets,dpr_depletion_amort,capital_expenditures,changein_receivables,changein_inventory,profit_loss,cashflow_frominvestment,cashflow_fromfinancing,proceeds_fromrepayment_shortterm_debt,payments_forrepurchase_commonstock,payments_forrepurchase_equity,payments_forrepurchase_preferredstock,div_payout,div_payout_commonstock,div_payout_preferredStock,proceeds_fromissuance_commonstock,proceeds_fromissuance_longterm_debtcapital_secnet,proceeds_fromissuance_preferredstock,proceeds_fromrepurchase_equity,proceeds_fromsale_treasurystock,changein_cash_cashequivalents,changein_exchangerate,netincome
AACQ,12/31/2020,USD,-138276,0,0,-15390,-69400,0,0,0,0,-53897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-138276,0,-53897
ABCL,9/30/2020,USD,-3799038,0,0,0,0,0,0,0,0,0,-3884989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCL,6/30/2020,USD,12606324,0,0,0,0,0,0,0,0,0,-3856371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCL,3/31/2020,USD,12606324,0,0,0,0,0,0,0,0,0,-3856371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCL,12/31/2019,USD,459276,0,0,0,0,497332,583160,0,0,0,-628033,248296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1640974
ABCM,12/31/2020,GBP,16950000,0,0,0,0,0,0,0,0,0,-11400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCM,9/30/2020,GBP,16950000,0,0,0,0,0,0,0,0,0,-11400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCM,6/30/2020,GBP,11700000,0,0,0,0,0,0,0,0,0,-64650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCM,3/31/2020,GBP,11700000,0,0,0,0,0,0,0,0,0,-64650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCM,12/31/2019,GBP,19800000,0,0,0,0,0,0,0,0,0,-9400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCM,9/30/2019,GBP,19800000,0,0,0,0,0,0,0,0,0,-9400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
