SYMBOL,IPO_DATE,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN,THREE_MTH_DATE,THREE_MTH_IPO,PRICE_CHANGE,THREE_MTH_RETURN,PRICE_GAIN_LOSS,
ALVR,2020-07-30,AlloVir,17,27.78,0.6341,2020-10-30,26.43,9.43,0.554705882,Gain,
VERX,2020-07-29,Vertex,19,25.67,0.3511,2020-10-29,24.46,5.46,0.287368421,Gain,
ACEV,2020-07-28,ACE Convergence Acquisition,10,10.49,0.049,2020-10-28,9.65,-0.35,-0.035,Loss,
EDTK,2020-07-23,Skillful Craftsman,5,3.6,-0.28,2020-10-23,3.31,-1.69,-0.338,Loss,
ERES,2020-07-23,East Resources Acquisition,10,9.99,-0.001,2020-10-23,9.71,-0.29,-0.029,Loss,
MEG,2020-07-23,Montrose Environmental Group,15,49.78,2.3187,2020-10-23,27.67,12.67,0.844666667,Gain,
PSAC,2020-07-22,Property Solutions Acquisition,10,13.14,0.314,2020-10-22,9.72,-0.28,-0.028,Loss,
PSTH,2020-07-22,Pershing Square Tontine Holdings,20,27.23,0.3615,2020-10-22,23.44,3.44,0.172,Gain,
JAMF,2020-07-22,Jamf Holding,26,38.55,0.4827,2020-10-22,33.07,7.07,0.271923077,Gain,
TIG,2020-07-16,Trean Insurance Group,15,16.96,0.1307,2020-10-16,13.7,-1.3,-0.086666667,Loss,
RLAY,2020-07-16,Relay Therapeutics,20,40.26,1.013,2020-10-16,40.57,20.57,1.0285,Gain,
GOCO,2020-07-15,GoHealth,21,11.65,-0.4452,2020-10-15,12.25,-8.75,-0.416666667,Loss,
MLAC,2020-07-15,Malacca Straits Acquisition,10,9.94,-0.006,2020-10-15,9.745,-0.255,-0.0255,Loss,
DEH,2020-07-15,D8 Holdings,10,9.96,-0.004,2020-10-15,9.69,-0.31,-0.031,Loss,
HPX,2020-07-15,HPX Corp.,10,10,0,2020-10-15,9.67,-0.33,-0.033,Loss,
AACQ,2020-07-14,Artius Acquisition,10,10.35,0.035,2020-10-14,9.8,-0.2,-0.02,Loss,
NCNO,2020-07-14,"nCino, Inc.",31,70.61,1.2777,2020-10-14,76.49,45.49,1.467419355,Gain,
PTK,2020-07-13,PTK Acquisition,10,9.98,-0.002,2020-10-13,9.764,-0.236,-0.0236,Loss,
BLCT,2020-07-08,BlueCity Holdings,16,12.55,-0.2156,2020-10-08,9.79,-6.21,-0.388125,Loss,
TXAC,2020-07-08,Therapeutics Acquisition,10,12.96,0.296,2020-10-08,14.25,4.25,0.425,Gain,
RACA,2020-07-08,Therapeutics Acquisition,10,12,0.2,2020-10-08,14.25,4.25,0.425,Gain,
LMND,2020-07-02,Lemonade,29,104.77,2.6128,2020-10-02,51.58,22.58,0.77862069,Gain,
CPSR,2020-07-02,Capstar Special Purpose Acquisition,10,9.86,-0.014,2020-10-02,9.855,-0.145,-0.0145,Loss,
ACCD,2020-07-02,Accolade,22,47.24,1.1473,2020-10-02,38.74,16.74,0.760909091,Gain,
PANA,2020-07-01,Panacea Acquisition,10,10.42,0.042,2020-10-01,11.125,1.125,0.1125,Gain,
DNB,2020-07-01,Dun & Bradstreet,22,24.49,0.1132,2020-10-01,25.39,3.39,0.154090909,Gain,
GSAH,2020-06-30,GS Acquisition Holdings II,10,11.28,0.128,2020-09-30,10.76,0.76,0.076,Gain,
ADTX,2020-06-30,Aditx Therapeutics,9,3.46,-0.6156,2020-09-30,1.95,-7.05,-0.783333333,Loss,
BRLI,2020-06-24,Brilliant Acquisition,10,9.93,-0.007,2020-09-24,9.76,-0.24,-0.024,Loss,
TREB,2020-06-17,Trebia Acquisition,10,10.54,0.054,2020-09-17,10.3,0.3,0.03,Gain,
RPRX,2020-06-16,Royalty Pharma,28,48.62,0.7364,2020-09-16,40.61,12.61,0.450357143,Gain,
LTRN,2020-06-11,Lantern Pharma,15,21.92,0.4613,2020-09-11,19.24,4.24,0.282666667,Gain,
UCL,2020-06-10,uCloudlink Group,18,10.59,-0.4117,2020-09-10,13.5829,-4.4171,-0.245394444,Loss,
HEC,2020-06-09,Hudson Executive Investment Corp.,10,10.13,0.013,2020-09-09,9.8,-0.2,-0.02,Loss,
VRM,2020-06-09,Vroom,22,37.23,0.6923,2020-09-09,57.2,35.2,1.6,Gain,
ZI,2020-06-04,ZoomInfo Technologies,21,48.53,1.311,2020-09-04,32.61,11.61,0.552857143,Gain,
WMG,2020-06-03,Warner Music Group,25,34.55,0.382,2020-09-03,28.6,3.6,0.144,Gain,
PLRX,2020-06-03,Pliant Therapeutics,16,40,1.5,2020-09-03,24.31,8.31,0.519375,Gain,
WPF,2020-05-27,Foley Trasimene Acquisition,10,10.29,0.029,2020-08-27,10.18,0.18,0.018,Gain,
LGVW,2020-05-21,Longview Acquisition,10,23.05,1.305,2020-08-21,9.8,-0.2,-0.02,Loss,
SLQT,2020-05-21,SelectQuote,20,29.39,0.4695,2020-08-21,19.78,-0.22,-0.011,Loss,
BMRG,2020-05-20,B. Riley Principal Merger II,10,10.68,0.068,2020-08-20,10.09,0.09,0.009,Gain,
GIK,2020-05-14,GigCapital3,10,12.02,0.202,2020-08-14,9.93,-0.07,-0.007,Loss,
JWS,2020-05-14,Jaws Acquisition,10,13.13,0.313,2020-08-14,10.18,0.18,0.018,Gain,
LOAK,2020-05-06,Live Oak Acquisition,10,24.2,1.42,2020-08-06,9.98,-0.02,-0.002,Loss,
SOAC,2020-05-06,Sustainable Opportunities Acquisition,10,10.18,0.018,2020-08-06,9.95,-0.05,-0.005,Loss,
GAN,2020-05-05,GAN Limited,8.5,28.29,2.3282,2020-08-05,20.3,11.8,1.388235294,Gain,
ROCH,2020-05-05,Roth CH Acquisition I,10,28.9,1.89,2020-08-05,9.88,-0.12,-0.012,Loss,
FVAC,2020-04-30,Fortress Value Acquisition,10,14.39,0.439,2020-07-30,12.12,2.12,0.212,Gain,
IPOB,2020-04-28,Social Capital Hedosophia II,10,29.5,1.95,2020-07-28,11.87,1.87,0.187,Gain,
ORIC,2020-04-24,Oric Pharmaceuticals,16,28.81,0.8006,2020-07-24,22.1,6.1,0.38125,Gain,
PCPL,2020-04-24,CC Neuberger Principal Holdings I,10,10.98,0.098,2020-07-24,10.55,0.55,0.055,Gain,
CHAQ,2020-04-24,Chardan Healthcare Acquisition 2,10,10.02,0.002,2020-07-24,10.1843,0.1843,0.01843,Gain,
KROS,2020-04-08,Keros Therapeutics,16,59.75,2.7344,2020-07-08,34.4,18.4,1.15,Gain,
WIMI,2020-04-01,WiMi Hologram Cloud,5.5,8.96,0.6291,2020-07-01,3.44,-2.06,-0.374545455,Loss,
IMRA,2020-03-12,IMARA Inc.,16,10.4,-0.35,2020-06-12,45.75,29.75,1.859375,Gain,
DFPH,2020-03-11,DFP Healthcare Acquisitions,10,10.05,0.005,2020-06-11,9.76,-0.24,-0.024,Loss,
GFL,2020-03-03,GFL Environmental,19,33.07,0.7405,2020-06-03,19.13,0.13,0.006842105,Gain,
PASG,2020-02-28,Passage Bio,18,20.65,0.1472,2020-05-28,23,5,0.277777778,Gain,
DMYT,2020-02-21,dMY Technology Group,10,22.76,1.276,2020-05-21,9.75,-0.25,-0.025,Loss,
ESSC,2020-02-20,East Stone Acquisition,10,9.98,-0.002,2020-05-20,9.72,-0.28,-0.028,Loss,
CCXX,2020-02-14,Churchill Capital III,10,9.84,-0.016,2020-05-14,10.09,0.09,0.009,Gain,
NBAC,2020-02-14,Newborn Acquisition,10,15.66,0.566,2020-05-14,9.84,-0.16,-0.016,Loss,
MEDS,2020-02-13,Trxade Group,6.5,6.49,-0.0015,2020-05-13,5.97,-0.53,-0.081538462,Loss,
ZGYH,2020-02-13,Yunhong International,10,9.99,-0.001,2020-05-13,9.74,-0.26,-0.026,Loss,
RVMD,2020-02-13,Revolution Medicines,17,49.54,1.9141,2020-05-13,34.39,17.39,1.022941176,Gain,
GRIL,2020-02-13,Muscle Maker,5,2.4,-0.52,2020-05-13,1.8332,-3.1668,-0.63336,Loss,
HUIZ,2020-02-12,Huize Holding,10.5,10.56,0.0057,2020-05-12,6.9,-3.6,-0.342857143,Loss,
CCAC,2020-02-11,CITIC Capital Acquisition,10,10.44,0.044,2020-05-11,9.75,-0.25,-0.025,Loss,
PFHD,2020-02-07,Professional Holding,18.5,17.11,-0.0751,2020-05-07,15.28,-3.22,-0.174054054,Loss,
ONEW,2020-02-07,OneWater Marine,12,42.48,2.54,2020-05-07,12.3,0.3,0.025,Gain,
NREF,2020-02-07,NexPoint Real Estate Finance,19,18.74,-0.0137,2020-05-07,12,-7,-0.368421053,Loss,
SDGR,2020-02-06,Schrodinger,17,81.25,3.7794,2020-05-06,47.89,30.89,1.817058824,Gain,
BEAM,2020-02-06,Beam Therapeutics,17,97.8,4.7529,2020-05-06,16.08,-0.92,-0.054117647,Loss,
CSPR,2020-02-06,Casper Sleep,12,8.25,-0.3125,2020-05-06,6.33,-5.67,-0.4725,Loss,
PPD,2020-02-06,"PPD, Inc.",27,38.06,0.4096,2020-05-06,24.43,-2.57,-0.095185185,Loss,
ONEM,2020-01-31,1Life Healthcare,14,42.17,2.0121,2020-04-30,24.67,10.67,0.762142857,Gain,
REYN,2020-01-31,Reynolds Consumer Products,26,30.01,0.1542,2020-04-30,32.43,6.43,0.247307692,Gain,
ARQT,2020-01-31,Arcutis Biotherapeutics,17,32.34,0.9024,2020-04-30,29.72,12.72,0.748235294,Gain,
ANPC,2020-01-30,AnPac Bio-Medical Science,12,7.15,-0.4042,2020-04-30,7.5,-4.5,-0.375,Loss,
BDTX,2020-01-30,Black Diamond Therapeutics,19,25.85,0.3605,2020-04-30,37.04,18.04,0.949473684,Gain,
ANVS,2020-01-29,Annovis Bio,6,38.44,5.4067,2020-04-29,3.66,-2.34,-0.39,Loss,
SCVX,2020-01-24,SCVX Corp.,10,9.95,-0.005,2020-04-24,9.8,-0.2,-0.02,Loss,
GHIV,2020-01-24,Gores Holdings IV,10,11.54,0.154,2020-04-24,9.77,-0.23,-0.023,Loss,
VEL,2020-01-17,Velocity Financial,13,9.01,-0.3069,2020-04-17,3.1,-9.9,-0.761538462,Loss,
IMAB,2020-01-17,I-Mab,14,56.69,3.0493,2020-04-17,13.8,-0.2,-0.014285714,Loss,
LIZI,2020-01-17,Lizhi Inc.,11,12.35,0.1227,2020-04-17,4.8,-6.2,-0.563636364,Loss,
DNK,2020-01-17,Phoenix Tree Holdings,13.5,2.37,-0.8247,2020-04-17,7.16,-6.34,-0.46962963,Loss,
MKD,2019-12-30,Molecular Data,5.38,1.25,-0.7677,2020-03-30,1.9772,-3.4028,-0.632490706,Loss,
MNPR,2019-12-19,Monopar Therapeutics,8,7.05,-0.1188,2020-03-19,7,-1,-0.125,Loss,
INDO,2019-12-19,Indonesia Energy,11,7.01,-0.3627,2020-03-19,2,-9,-0.818181818,Loss,
CIIC,2019-12-13,CIIG Merger,10,24.35,1.435,2020-03-13,9.75,-0.25,-0.025,Loss,
HCCO,2019-12-13,Healthcare Merger Corp,10,8.97,-0.103,2020-03-13,9.94,-0.06,-0.006,Loss,
SPT,2019-12-13,Sprout Social,17,61,2.5882,2020-03-13,15.33,-1.67,-0.098235294,Loss,
OCFT,2019-12-13,OneConnect Financial Technology,10,15.78,0.578,2020-03-13,11.73,1.73,0.173,Gain,
BILL,2019-12-12,Bill.com,22,146.34,5.6518,2020-03-12,40.12,18.12,0.823636364,Gain,
EH,2019-12-12,EHang Holdings,12.5,46.31,2.7048,2020-03-12,10.84,-1.66,-0.1328,Loss,
XP,2019-12-11,XP Inc.,27,39.64,0.4681,2020-03-11,23.24,-3.76,-0.139259259,Loss,
LIVK,2019-12-11,LIV Capital Acquisition,10,9.98,-0.002,2020-03-11,9.92,-0.08,-0.008,Loss,
LMPX,2019-12-05,LMP Automotive Holdings,5,19.78,2.956,2020-03-05,10.12,5.12,1.024,Gain,
ALUS,2019-11-26,Alussa Energy Acquisition,10,10.34,0.034,2020-02-26,9.91,-0.09,-0.009,Loss,
SITM,2019-11-21,SiTime,13,102.9,6.9154,2020-02-21,30.43,17.43,1.340769231,Gain,
CAN,2019-11-21,Canaan,9,27.62,2.0689,2020-02-21,5.86,-3.14,-0.348888889,Loss,
SAQN,2019-11-20,Software Acquisition Group,10,10.1,0.01,2020-02-20,9.96,-0.04,-0.004,Loss,
AMHC,2019-11-20,Amplitude Healthcare Acquisition,10,9.9,-0.01,2020-02-20,9.9324,-0.0676,-0.00676,Loss,
GRNV,2019-11-19,Greenvision Acquisition,10,10.16,0.016,2020-02-19,10.01,0.01,0.001,Gain,
YAYO,2019-11-13,Rideshare Rental,4,3.7,-0.0763,2020-02-13,0.3452,-3.6548,-0.9137,Loss,
ETNB,2019-11-11,89bio,16,25.09,0.5681,2020-02-11,28.6,12.6,0.7875,Gain,
CNTG,2019-11-07,Centogene,14,13,-0.0714,2020-02-07,10.13,-3.87,-0.276428571,Loss,
GRTX,2019-11-07,Galera Therapeutics,12,11.67,-0.0275,2020-02-07,13.53,1.53,0.1275,Gain,
SI,2019-11-07,Silvergate Capital,12,160.36,12.36,2020-02-07,16.25,4.25,0.354166667,Gain,
QK,2019-11-05,Q&K International Group,17,3.07,-0.8194,2020-02-05,12.49,-4.51,-0.265294118,Loss,
RAPT,2019-10-31,Rapt Therapeutics,12,23.46,0.955,2020-01-31,44.29,32.29,2.690833333,Gain,
OYST,2019-10-31,Oyster Point Pharma,16,22.43,0.4019,2020-01-31,31.5,15.5,0.96875,Gain,
BRP,2019-10-24,BRP Group,14,27.18,0.9414,2020-01-24,16.25,2.25,0.160714286,Gain,
IPHA,2019-10-17,Innate Pharma,5.5,4.5,-0.1818,2020-01-17,7.605,2.105,0.382727273,Gain,
BRBR,2019-10-17,Bellring Brands,14,24.98,0.7843,2020-01-17,22.56,8.56,0.611428571,Gain,
BNTX,2019-10-10,BioNTech SE,15,107.59,6.1727,2020-01-10,39.68,24.68,1.645333333,Gain,
VIE,2019-10-03,Viela Bio,19,53.01,1.79,2020-01-03,25.71,6.71,0.353157895,Gain,
MCBS,2019-10-03,MetroCity Bankshares,13.5,16.16,0.197,2020-01-03,17.73,4.23,0.313333333,Gain,
FREQ,2019-10-03,Frequency Therapeutics,14,34.25,1.4464,2020-01-03,16.67,2.67,0.190714286,Gain,
APRE,2019-10-03,Aprea Therapeutics,15,5.7,-0.62,2020-01-03,41,26,1.733333333,Gain,
PTON,2019-09-26,Peloton Interactive,29,108.31,2.7348,2019-12-26,27,-2,-0.068965517,Loss,
OPRT,2019-09-26,Oportun Financial,15,21.1,0.4067,2019-12-26,24.75,9.75,0.65,Gain,
PING,2019-09-19,Ping Identity,15,23.11,0.5407,2019-12-19,23.32,8.32,0.554666667,Gain,
DDOG,2019-09-19,Datadog,27,84.03,2.1122,2019-12-19,38.1,11.1,0.411111111,Gain,
XGN,2019-09-19,Exagen,14,20,0.4286,2019-12-19,21.64,7.64,0.545714286,Gain,
IGMS,2019-09-18,IGM Biosciences,16,91.1,4.6938,2019-12-18,34.39,18.39,1.149375,Gain,
NVST,2019-09-18,Envista Holdings,22,41.44,0.8836,2019-12-18,28.67,6.67,0.303181818,Gain,
APXT,2019-09-17,Apex Technology Acquisition,10,12.42,0.242,2019-12-17,10.43,0.43,0.043,Gain,
SWTX,2019-09-13,Springworks Therapeutics,18,68.2,2.7889,2019-12-13,28.9,10.9,0.605555556,Gain,
NET,2019-09-13,Cloudflare,15,71.69,3.7793,2019-12-13,17.95,2.95,0.196666667,Gain,
STSA,2019-09-13,Satsuma Pharmaceuticals,15,6.25,-0.5833,2019-12-13,13.93,-1.07,-0.071333333,Loss,
EXPC,2019-09-13,Experience Investment,10,11.92,0.192,2019-12-13,9.82,-0.18,-0.018,Loss,
ALRS,2019-09-13,Alerus Financial,21,34.25,0.631,2019-12-13,22.83,1.83,0.087142857,Gain,
TXG,2019-09-12,10X Genomics,39,177.76,3.5579,2019-12-12,61.54,22.54,0.577948718,Gain,
SDC,2019-09-12,SmileDirectClub,23,11.15,-0.5152,2019-12-12,7.8,-15.2,-0.660869565,Loss,
NPA,2019-09-11,New Providence Acquisition,10,12.48,0.248,2019-12-11,9.83,-0.17,-0.017,Loss,
JFU,2019-08-15,9F Inc.,9.5,2.09,-0.78,2019-11-15,11.02,1.52,0.16,Gain,
CFB,2019-08-15,CrossFirst Bankshares,14.5,14.47,-0.0021,2019-11-15,13.15,-1.35,-0.093103448,Loss,
PLIN,2019-08-14,China Xiangtai Food,5,1.13,-0.774,2019-11-14,4.11,-0.89,-0.178,Loss,
SSPK,2019-08-08,Silver Spike Acquisition,10,19.64,0.964,2019-11-08,9.86,-0.14,-0.014,Loss,
INMD,2019-08-08,InMode,14,71.06,4.0757,2019-11-08,40.44,26.44,1.888571429,Gain,
HKIB,2019-08-05,AMTD International,8.38,7.06,-0.1575,2019-11-05,8.3,-0.08,-0.009546539,Loss,
KRUS,2019-08-01,Kura Sushi USA,14,36.25,1.5893,2019-11-01,18.58,4.58,0.327142857,Gain,
SNDL,2019-08-01,Sundial Growers,13,1.49,-0.8854,2019-11-01,3.19,-9.81,-0.754615385,Loss,
DT,2019-08-01,Dynatrace,16,50.9,2.1813,2019-11-01,21.15,5.15,0.321875,Gain,
NFIN,2019-07-31,Netfin Acquisition,10,11.4,0.14,2019-10-31,9.85,-0.15,-0.015,Loss,
BORR,2019-07-31,Borr Drilling,9.3,1.14,-0.8774,2019-10-31,6.55,-2.75,-0.295698925,Loss,
HCAT,2019-07-25,Health Catalyst,26,46.96,0.8062,2019-10-25,29.77,3.77,0.145,Gain,
NOVA,2019-07-25,Sunnova Energy,12,35.53,1.9608,2019-10-25,10.81,-1.19,-0.099166667,Loss,
LVGO,2019-07-25,Livongo Health,28,139.77,3.9918,2019-10-25,21.17,-6.83,-0.243928571,Loss,
CSTL,2019-07-25,Castle Biosciences,16,66.53,3.1581,2019-10-25,18.11,2.11,0.131875,Gain,
PROS,2019-07-25,ProSight Global,14,12.6,-0.1,2019-10-25,15.6,1.6,0.114285714,Gain,
EIC,2019-07-24,Eagle Point Income,19,15.35,-0.1921,2019-10-24,19.08,0.08,0.004210526,Gain,
PHR,2019-07-18,Phreesia,17,55.18,2.2459,2019-10-18,28.03,11.03,0.648823529,Gain,
MIRM,2019-07-18,Mirum Pharmaceuticals,15,19.64,0.3093,2019-10-18,7.97,-7.03,-0.468666667,Loss,
CPAA,2019-07-18,Conyers Park II Acquisition,10,8.86,-0.114,2019-10-18,10.1,0.1,0.01,Gain,
ORCC,2019-07-18,Owl Rock Capital,15.3,14.24,-0.0693,2019-10-18,16.96,1.66,0.108496732,Gain,
AMK,2019-07-18,AssetMark Financial,22,23.13,0.0514,2019-10-18,27.16,5.16,0.234545455,Gain,
OAC,2019-07-18,Oaktree Acquisition,10,16.38,0.638,2019-10-18,9.85,-0.15,-0.015,Loss,
FULC,2019-07-18,Fulcrum Therapeutics,16,11.36,-0.29,2019-10-18,4.57,-11.43,-0.714375,Loss,
IHRT,2019-07-18,iHeartMedia,17,18.09,0.0641,2019-10-18,14.5,-2.5,-0.147058824,Loss,
DOYU,2019-07-17,DouYu,11.5,13.17,0.1452,2019-10-17,7.37,-4.13,-0.359130435,Loss,
RMBI,2019-07-02,Richmond Mutual Bancorporation,10,14.35,0.435,2019-10-02,13.77,3.77,0.377,Gain,
MORF,2019-06-27,Morphic Holding,15,64.51,3.3007,2019-09-27,17.9,2.9,0.193333333,Gain,
ADPT,2019-06-27,Adaptive Biotechnologies,20,41.89,1.0945,2019-09-27,30.31,10.31,0.5155,Gain,
CHNG,2019-06-27,Change Healthcare,13,22.75,0.75,2019-09-27,11.78,-1.22,-0.093846154,Loss,
BBIO,2019-06-27,BridgeBio Pharma,17,67.66,2.98,2019-09-27,20.13,3.13,0.184117647,Gain,
LINX,2019-06-26,Linx S.A.,9.4,6.7,-0.2872,2019-09-26,7.92,-1.48,-0.157446809,Loss,
CMBM,2019-06-26,Cambium Networks,12,49.48,3.1233,2019-09-26,9.75,-2.25,-0.1875,Loss,
AKRO,2019-06-20,Akero Therapeutics,16,31.73,0.9831,2019-09-20,18.88,2.88,0.18,Gain,
PSNL,2019-06-20,Personalis,17,25.01,0.4712,2019-09-20,16.41,-0.59,-0.034705882,Loss,
GO,2019-06-20,Grocery Outlet,22,36.26,0.6482,2019-09-20,38.08,16.08,0.730909091,Gain,
BCEL,2019-06-20,Atreca,17,15.99,-0.0594,2019-09-20,11.66,-5.34,-0.314117647,Loss,
WORK,2019-06-20,Slack Technologies,26,40.8,0.5692,2019-09-20,25.37,-0.63,-0.024230769,Loss,
PRVL,2019-06-20,Prevail Therapeutics,17,23,0.3529,2019-09-20,13.56,-3.44,-0.202352941,Loss,
SMMC,2019-06-20,South Mountain Merger,10,16.8,0.68,2019-09-20,9.76,-0.24,-0.024,Loss,
STOK,2019-06-19,Stoke Therapeutics,18,47.9,1.6611,2019-09-19,22.05,4.05,0.225,Gain,
FVRR,2019-06-13,Fiverr International,21,224.93,9.711,2019-09-13,19.27,-1.73,-0.082380952,Loss,
MWK,2019-06-12,Mohawk Group Holdings,10,35.45,2.545,2019-09-12,7.49,-2.51,-0.251,Loss,
CRWD,2019-06-12,CrowdStrike,34,194.63,4.7244,2019-09-12,69.66,35.66,1.048823529,Gain,
GIX,2019-06-06,GigCapital2,10,10.02,0.002,2019-09-06,9.83,-0.17,-0.017,Loss,
GSX,2019-06-06,GSX Techedu,10.5,86.6,7.2476,2019-09-06,12.3,1.8,0.171428571,Gain,
BCYC,2019-05-23,Bicycle Therapeutics,14,26,0.8571,2019-08-23,7.03,-6.97,-0.497857143,Loss,
RTLR,2019-05-23,Rattler Midstream,17.5,11.43,-0.3469,2019-08-23,17.52,0.02,0.001142857,Gain,
IDYA,2019-05-23,IDEAYA Biosciences,10,22.58,1.258,2019-08-23,6.36,-3.64,-0.364,Loss,
PSTL,2019-05-15,Postal Realty Trust,17,15.92,-0.0635,2019-08-15,14.9,-2.1,-0.123529412,Loss,
APLT,2019-05-14,Applied Therapeutics,10,20.33,1.033,2019-08-14,8.83,-1.17,-0.117,Loss,
AGBA,2019-05-14,AGBA Acquisition,10,10.55,0.055,2019-08-14,10,0,0,Loss,
MEC,2019-05-09,Mayville Engineering,17,16.4,-0.0353,2019-08-09,11.49,-5.51,-0.324117647,Loss,
CRTX,2019-05-09,Cortexyme,17,36.5,1.1471,2019-08-09,27.69,10.69,0.628823529,Gain,
SPFI,2019-05-09,South Plains Financial,17.5,24.41,0.3949,2019-08-09,16.87,-0.63,-0.036,Loss,
NXTC,2019-05-09,NextCure,15,11.93,-0.2047,2019-08-09,23.91,8.91,0.594,Gain,
AXLA,2019-05-09,Axcella Health,20,5.42,-0.729,2019-08-09,7.26,-12.74,-0.637,Loss,
HHR,2019-05-09,Headhunter Group,13.5,36.07,1.6719,2019-08-09,18.6,5.1,0.377777778,Gain,
PSN,2019-05-08,Parsons,27,37.7,0.3963,2019-08-08,37.28,10.28,0.380740741,Gain,
LCA,2019-05-07,Landcadia Holdings II,10,25.49,1.549,2019-08-07,9.82,-0.18,-0.018,Loss,
TRVI,2019-05-07,Trevi Therapeutics,10,2.75,-0.725,2019-08-07,4.87,-5.13,-0.513,Loss,
TBBA,2019-05-06,TEB Bancorp,10,9.28,-0.0725,2019-08-06,8.05,-1.95,-0.195,Loss,
BYND,2019-05-02,Beyond Meat,25,139.39,4.5756,2019-08-02,177.11,152.11,6.0844,Gain,
SY,2019-05-02,So-Young International,13.8,12.03,-0.1283,2019-08-02,14.39,0.59,0.042753623,Gain,
TMDX,2019-05-02,TransMedics Group,16,44.29,1.7681,2019-08-02,23.26,7.26,0.45375,Gain,
WAFU,2019-04-30,Wah Fu Education Group,5,5.94,0.188,2019-07-30,2.9599,-2.0401,-0.40802,Loss,
HOOK,2019-04-18,HOOKIPA Pharma,14,14.7,0.05,2019-07-18,7.16,-6.84,-0.488571429,Loss,
PINS,2019-04-18,Pinterest,19,73.01,2.8426,2019-07-18,25.78,6.78,0.356842105,Gain,
ZM,2019-04-18,Zoom Video Communications,36,326.26,8.0628,2019-07-18,95.19,59.19,1.644166667,Gain,
GNLN,2019-04-18,Greenlane Holdings,17,5.53,-0.6747,2019-07-18,8.25,-8.75,-0.514705882,Loss,
MNRL,2019-04-18,Brigham Minerals,18,15.18,-0.1567,2019-07-18,20.11,2.11,0.117222222,Gain,
PLMR,2019-04-17,Palomar Holdings,15,69.97,3.6647,2019-07-17,24.84,9.84,0.656,Gain,
TPTX,2019-04-17,Turning Point Therapeutics,18,105.72,4.8733,2019-07-17,41.82,23.82,1.323333333,Gain,
BWAY,2019-04-17,Brainsway,11,8.48,-0.2291,2019-07-17,10.28,-0.72,-0.065454545,Loss,
JMIA,2019-04-12,Jumia Technologies AG,14.5,42.14,1.9062,2019-07-12,24.54,10.04,0.692413793,Gain,
TUFN,2019-04-11,Tufin Software Technologies,14,11.19,-0.2007,2019-07-11,29.03,15.03,1.073571429,Gain,
PD,2019-04-11,PagerDuty,24,41.18,0.7158,2019-07-11,49.4,25.4,1.058333333,Gain,
GHSI,2019-04-05,Guardion Health Sciences,4,2.62,-0.345,2019-07-05,1.23,-2.77,-0.6925,Loss,
RUHN,2019-04-03,Ruhnn Holding,12.5,3.39,-0.7292,2019-07-03,3.59,-8.91,-0.7128,Loss,
PBTS,2019-04-02,Powerbridge Technologies,5,3.68,-0.264,2019-07-02,3.74,-1.26,-0.252,Loss,
DTIL,2019-03-28,Precision BioSciences,16,11.09,-0.3069,2019-06-28,13.25,-2.75,-0.171875,Loss,
JFK,2019-03-28,8i Enterprises Acquisition,10,9,-0.1,2019-06-28,9.9005,-0.0995,-0.00995,Loss,
WTRE,2019-03-28,Watford Holdings,25.26,34.9,0.3816,2019-06-28,27.42,2.16,0.085510689,Gain,
GNFT,2019-03-27,Genfit,22,4.81,-0.7814,2019-06-27,19.98,-2.02,-0.091818182,Loss,
LEVI,2019-03-21,Levi Strauss & Co.,17,25.01,0.4712,2019-06-21,21.76,4.76,0.28,Gain,
TIGR,2019-03-20,UP Fintech Holding,8,20.76,1.595,2019-06-20,5.32,-2.68,-0.335,Loss,
SWAV,2019-03-07,ShockWave Medical,17,119.13,6.0076,2019-06-07,62.91,45.91,2.700588235,Gain,
THCB,2019-03-05,Tuscan Holdings,10,13.96,0.396,2019-06-05,9.79,-0.21,-0.021,Loss,
KLDO,2019-02-28,Kaleido Biosciences,15,10.9,-0.2733,2019-05-28,16.29,1.29,0.086,Gain,
SHLL,2019-02-28,Tortoise Acquisition Corp.,10,44.91,3.491,2019-05-28,9.69,-0.31,-0.031,Loss,
DPHC,2019-02-28,DiamondPeak Holdings,10,18.21,0.821,2019-05-28,9.81,-0.19,-0.019,Loss,
ACAM,2019-02-22,Acamar Partners Acquisition,10,12.3,0.23,2019-05-22,9.75,-0.25,-0.025,Loss,
AREC,2019-02-15,American Resources,4,4.56,0.14,2019-05-15,3.4899,-0.5101,-0.127525,Loss,
MITO,2019-02-15,Stealth BioTherapeutics,12,1.98,-0.835,2019-05-15,14,2,0.166666667,Gain,
HOTH,2019-02-15,Hoth Therapeutics,5.6,2.21,-0.6054,2019-05-15,5.94,0.34,0.060714286,Gain,
TCRR,2019-02-14,TCR2 Therapeutics,15,23.7,0.58,2019-05-14,15.62,0.62,0.041333333,Gain,
IMAC,2019-02-13,IMAC Holdings,5.13,2.06,-0.598,2019-05-13,3.98,-1.15,-0.22417154,Loss,
HARP,2019-02-08,Harpoon Therapeutics,14,19.07,0.3621,2019-05-08,10.41,-3.59,-0.256428571,Loss,
RMG,2019-02-08,RMG Acquisition,10,27,1.7,2019-05-08,9.74,-0.26,-0.026,Loss,
GOSS,2019-02-08,Gossamer Bio,16,9.38,-0.4138,2019-05-08,18.17,2.17,0.135625,Gain,
