SYMBOL,IPO_DATE,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN,THREE_MTH_DATE,THREE_MTH_IPO,PRICE_CHANGE,THREE_MTH_RETURN,PRICE_GAIN_LOSS,
ROCC,2020-12-11,Roth CH Acquisition II,10,10.05,0.005,2021-03-11,10.3,0.3,0.03,Gain,
GLAQ,2020-12-11,Globis Acquisition,10,9.95,-0.005,2021-03-11,9.95,-0.05,-0.005,Loss,
MOTV,2020-12-11,Motive Capital,10,9.98,-0.002,2021-03-11,10,0,0,Loss,
EDTX,2020-12-11,EdtechX Holdings Acquisition II,10,9.83,-0.017,2021-03-11,9.94,-0.06,-0.006,Loss,
SNRH,2020-12-11,Senior Connect Acquisition I,10,9.91,-0.009,2021-03-11,9.91,-0.09,-0.009,Loss,
GHVI,2020-12-11,Gores Holdings VI,10,15.78,0.578,2021-03-11,17,7,0.7,Gain,
TVAC,2020-12-11,Thayer Ventures Acquisition,10,9.96,-0.004,2021-03-11,9.99,-0.01,-0.001,Loss,
CBAH,2020-12-11,CBRE Acquisition,10,9.95,-0.005,2021-03-11,10.18,0.18,0.018,Gain,
VVOS,2020-12-11,Vivos Therapeutics,6,7.44,0.24,2021-03-11,6.97,0.97,0.161666667,Gain,
CERT,2020-12-11,Certara,23,31.51,0.37,2021-03-11,27,4,0.173913043,Gain,
RMGB,2020-12-10,RMG Acquisition II,10,10.3,0.03,2021-03-10,10.41,0.41,0.041,Gain,
HYFM,2020-12-10,Hydrofarm,20,62.88,2.144,2021-03-10,56.13,36.13,1.8065,Gain,
ABNB,2020-12-10,Airbnb,68,201.36,1.9612,2021-03-10,183.79,115.79,1.702794118,Gain,
CTAQ,2020-12-10,Carney Technology Acquisition II,10,9.84,-0.016,2021-03-10,9.92,-0.08,-0.008,Loss,
PCPC,2020-12-10,Periphas Capital Partnering,25,24.71,-0.0114,2021-03-10,24.67,-0.33,-0.0132,Loss,
NEBC,2020-12-09,Nebula Caravel Acquisition,10,9.97,-0.003,2021-03-09,9.9306,-0.0694,-0.00694,Loss,
DASH,2020-12-09,DoorDash,102,133.8,0.3118,2021-03-09,141.48,39.48,0.387058824,Gain,
HMCO,2020-12-09,HumanCo Acquisition,10,10.33,0.033,2021-03-09,10.21,0.21,0.021,Gain,
PUBM,2020-12-09,PubMatic,20,51.04,1.552,2021-03-09,50.2,30.2,1.51,Gain,
ALTU,2020-12-09,Altitude Acquisition,10,10.39,0.039,2021-03-09,10.45,0.45,0.045,Gain,
AI,2020-12-09,C3.ai,42,80.56,0.9181,2021-03-09,84.91,42.91,1.021666667,Gain,
FLAC,2020-12-09,Frazier Lifesciences Acquisition,10,9.92,-0.008,2021-03-09,10.0025,0.0025,0.00025,Gain,
CND,2020-12-08,Concord Acquisition,10,9.84,-0.016,2021-03-08,9.94,-0.06,-0.006,Loss,
DDMX,2020-12-08,DD3 Acquisition II,10,9.76,-0.024,2021-03-08,9.92,-0.08,-0.008,Loss,
MUDS,2020-12-08,Mudrick Capital Acquisition II,10,9.87,-0.013,2021-03-08,9.95,-0.05,-0.005,Loss,
RAAC,2020-12-08,Revolution Acceleration Acquisition,10,10.59,0.059,2021-03-08,10.56,0.56,0.056,Gain,
YQ,2020-12-04,17 Education & Technology,10.5,10.23,-0.0257,2021-03-04,11.1,0.6,0.057142857,Gain,
SBTX,2020-12-04,Silverback Therapeutics,21,60.41,1.8767,2021-03-04,46.26,25.26,1.202857143,Gain,
SEER,2020-12-04,"Seer, Inc",19,54.72,1.88,2021-03-04,50.18,31.18,1.641052632,Gain,
SGTX,2020-12-04,Sigilon Therapeutics,18,24.64,0.3689,2021-03-04,21.86,3.86,0.214444444,Gain,
FTCV,2020-12-04,FinTech Acquisition V,10,12.9,0.29,2021-03-04,10.21,0.21,0.021,Gain,
PTIC,2020-12-04,Proptech Investment II,10,9.92,-0.008,2021-03-04,9.91,-0.09,-0.009,Loss,
FPAC,2020-12-03,Far Peak Acquisition,10,9.97,-0.003,2021-03-03,10,0,0,Loss,
HTPA,2020-12-03,Highland Transcend Partners I,10,10,0,2021-03-03,10.47,0.47,0.047,Gain,
KNTE,2020-12-03,Kinnate Biopharma,20,37,0.85,2021-03-03,34.28,14.28,0.714,Gain,
LOKB,2020-12-03,Live Oak Acquisition II,10,10.1,0.01,2021-03-03,10.29,0.29,0.029,Gain,
DCBO,2020-12-03,Docebo,52.21,42.75,-0.1812,2021-03-03,42.4,-9.81,-0.187895039,Loss,
SPFR,2020-12-03,Jaws Spitfire Acquisition,10,10.39,0.039,2021-03-03,10.43,0.43,0.043,Gain,
RSVA,2020-12-02,Rodgers Silicon Valley Acquisition,10,15.13,0.513,2021-03-02,18.14,8.14,0.814,Gain,
TACA,2020-12-02,Trepont Acquisition I,10,9.98,-0.002,2021-03-02,10.06,0.06,0.006,Gain,
CAP,2020-12-02,Capitol Investment V,10,10.2,0.02,2021-03-02,9.97,-0.03,-0.003,Loss,
FRX,2020-11-25,Forest Road Acquisition,10,10.94,0.094,2021-02-25,12.64,2.64,0.264,Gain,
